ime,chars,unicode
"chwung","充","5145"
"co","兆","5146"
"hyung","兇","5147"
"sen","先","5148"
"kwang","光","5149"
"kuk","克","514B"
"yey","兌","514C"
"thay","兌","514C"
"mwun","免","514D"
"myen","免","514D"
"a","兒","5152"
"tho","兔","5154"
"si","兕","5155"
"yen","兗","5157"
"sip","兙","5159"
"tang","党","515A"
"chen","兛","515B"
"twu","兜","515C"
"sin","兟","515F"
"payk","兡","5161"
"kung","兢","5162"
"ip","入","5165"
"nap","內","5167"
"nay","內","5167"
"cen","全","5168"
"lyang","兩","5169"
"phal","八","516B"
"kong","公","516C"
"lyuk","六","516D"
"hyey","兮","516E"
"kong","共","5171"
"pyeng","兵","5175"
"ki","其","5176"
"kwu","具","5177"
"cen","典","5178"
"kyem","兼","517C"
"ki","冀","5180"
"yem","冉","5189"
"chayk","冊","518A"
"cay","再","518D"
"kyeng","冏","518F"
"cwu","冑","5191"
"mok","冒","5192"
"mo","冒","5192"
"kwu","冓","5193"
"hwu","冔","5194"
"myen","冕","5195"
"yong","冗","5197"
"yu","冘","5198"
"mi","冞","519E"
"kwan","冠","51A0"
"chong","冢","51A2"
"wen","冤","51A4"
"myeng","冥","51A5"
"myek","冪","51AA"
"tong","冬","51AC"
"ping","冰","51B0"
"ho","冱","51B1"
"ya","冶","51B6"
"layng","冷","51B7"
"pwul","冹","51B9"
"lyel","冽","51BD"
"che","凄","51C4"
"ko","凅","51C5"
"cwun","准","51C6"
"ceng","凈","51C8"
"cheng","凊","51CA"
"co","凋","51CB"
"lung","凌","51CC"
"tong","凍","51CD"
"chang","凔","51D4"
"choy","凗","51D7"
"si","凘","51D8"
"lum","凜","51DC"
"ung","凝","51DD"
"huy","凞","51DE"
"kwey","几","51E0"
"pem","凡","51E1"
"hwang","凰","51F0"
"kay","凱","51F1"
"tung","凳","51F3"
"kam","凵","51F5"
"hyung","凶","51F6"
"tol","凸","51F8"
"chel","凸","51F8"
"yo","凹","51F9"
"chwu","出","51FA"
"chwul","出","51FA"
"ham","函","51FD"
"to","刀","5200"
"co","刁","5201"
"in","刃","5203"
"pwun","分","5206"
"phwun","分","5206"
"cel","切","5207"
"chey","切","5207"
"yey","刈","5208"
"kan","刊","520A"
"chon","刌","520C"
"mwun","刎","520E"
"hyeng","刑","5211"
"hwa","划","5212"
"wan","刓","5213"
"wel","刖","5216"
"lyel","列","5217"
"pwul","刜","521C"
"cho","初","521D"
"phan","判","5224"
"pyel","別","5225"
"pho","刨","5228"
"li","利","5229"
"san","刪","522A"
"kwal","刮","522E"
"to","到","5230"
"chang","刱","5231"
"kyu","刲","5232"
"ko","刳","5233"
"i","刵","5235"
"cey","制","5236"
"sway","刷","5237"
"kwen","券","5238"
"ca","刺","523A"
"chek","刺","523A"
"kak","刻","523B"
"chey","剃","5243"
"kyeng","剄","5244"
"chuk","則","5247"
"chik","則","5247"
"cwa","剉","5249"
"sak","削","524A"
"kuk","剋","524B"
"lal","剌","524C"
"cen","前","524D"
"chal","剎","524E"
"cak","剒","5252"
"chak","剒","5252"
"chek","剔","5254"
"pi","剕","5255"
"pwu","剖","5256"
"sa","剚","525A"
"kang","剛","525B"
"wan","剜","525C"
"pak","剝","525D"
"ki","剞","525E"
"chel","剟","525F"
"sem","剡","5261"
"ing","剩","5269"
"cen","剪","526A"
"thak","剫","526B"
"tan","剬","526C"
"ak","剭","526D"
"ok","剭","526D"
"kwa","剮","526E"
"pok","副","526F"
"pwu","副","526F"
"hal","割","5272"
"kay","剴","5274"
"chang","創","5275"
"san","剷","5277"
"tan","剸","5278"
"cen","剸","5278"
"li","剺","527A"
"phyo","剽","527D"
"cho","剿","527F"
"kwal","劀","5280"
"kwey","劂","5282"
"hoyk","劃","5283"
"cha","劄","5284"
"kuk","劇","5287"
"pyek","劈","5288"
"lyu","劉","5289"
"koy","劊","528A"
"hoy","劊","528A"
"co","劋","528B"
"kwi","劌","528C"
"kem","劍","528D"
"cey","劑","5291"
"uy","劓","5293"
"cham","劖","5296"
"chan","劗","5297"
"ma","劘","5298"
"lyey","劙","5299"
"li","劙","5299"
"lyek","力","529B"
"kong","功","529F"
"ka","加","52A0"
"lyel","劣","52A3"
"hyep","劦","52A6"
"co","助","52A9"
"no","努","52AA"
"kep","劫","52AB"
"kwu","劬","52AC"
"cho","劭","52AD"
"il","劮","52AE"
"kwang","劻","52BB"
"hal","劼","52BC"
"hay","劾","52BE"
"hayk","劾","52BE"
"kuk","勀","52C0"
"kyeng","勁","52C1"
"pal","勃","52C3"
"yong","勇","52C7"
"myen","勉","52C9"
"kyeng","勍","52CD"
"luk","勒","52D2"
"tong","動","52D5"
"wuk","勖","52D6"
"wuk","勗","52D7"
"kam","勘","52D8"
"mwu","務","52D9"
"hwun","勛","52DB"
"sung","勝","52DD"
"lo","勞","52DE"
"mo","募","52DF"
"sey","勢","52E2"
"cek","勣","52E3"
"kun","勤","52E4"
"cho","勦","52E6"
"i","勩","52E9"
"yey","勩","52E9"
"tan","勯","52EF"
"hyep","勰","52F0"
"may","勱","52F1"
"hwun","勳","52F3"
"lye","勴","52F4"
"lye","勵","52F5"
"yang","勷","52F7"
"kwen","勸","52F8"
"cak","勺","52FA"
