id,tra,sim
39188,"准","准"
38892,"冶","冶"
39065,"凍","冻"
39216,"凎","凎"
39217,"凋","凋"
39282,"凔","凔"
39283,"凗","凗"
39284,"凘","凘"
39285,"凜","凛"
39308,"凝","凝"
39457,"冗","冗"
39626,"冢","冢"
39661,"冥","冥"
39851,"冤","冤"
39945,"冪","幂"
39951,"凵","凵"
39952,"凶","凶"
45664,"功","功"
46015,"劬","劬"
40157,"凸","凸"
40172,"凹","凹"
40192,"出","出"
48430,"干","干"
40765,"函","函"
40870,"卬","卬"
40884,"卮","卮"
40887,"印","印"
41242,"卵","卵"
41271,"即","即"
41335,"卲","卲"
41336,"卹","恤"
41360,"卷","卷"
41463,"卸","卸"
41482,"卻","却"
41705,"刁","刁"
41768,"刃","刃"
41774,"切","切"
42394,"刈","刈"
42404,"刊","刊"
44351,"則","则"
46909,"厹","厹"
46913,"去","去"
51408,"坱","坱"
51414,"坰","垧"
51419,"垂","垂"
52774,"堧","堧"
52775,"堤","堤"
52790,"場","场"
42603,"刓","刓"
42627,"列","列"
42757,"划","划"
42769,"刖","刖"
42775,"刎","刎"
42779,"初","初"
42921,"別","别"
43148,"刪","删"
43203,"利","利"
43349,"刨","刨"
43368,"判","判"
55292,"尉","尉"
55315,"尌","尌"
55316,"尊","尊"
59248,"夾","夹"
43600,"刳","刳"
43633,"到","到"
43679,"制","制"
43793,"刮","刮"
44242,"剌","剌"
44263,"剄","刭"
44266,"削","削"
44830,"副","副"
50183,"壬","壬"
50190,"圠","圠"
50191,"圢","圢"
50193,"圣","圣"
50194,"圩","圩"
50211,"圬","圬"
50217,"圭","圭"
44035,"刷","刷"
44092,"荊","荆"
45497,"劓","劓"
45501,"劑","剂"
45883,"劦","劦"
45884,"劫","劫"
48328,"建","建"
51106,"坍","坍"
51161,"坑","坑"
51863,"垔","垔"
51864,"垤","垤"
51866,"垌","垌"
51867,"垘","垘"
51868,"埏","埏"
51878,"垢","垢"
44379,"剉","剉"
44388,"剃","剃"
44401,"剒","剒"
44402,"剚","剚"
44405,"剞","剞"
44410,"剕","剕"
44414,"剔","剔"
44450,"剛","刚"
49195,"工","工"
44644,"剡","剡"
46037,"努","努"
46045,"劭","劭"
46050,"劻","劻"
46055,"劼","劼"
46057,"劾","劾"
46067,"勀","勀"
46070,"勃","勃"
49097,"幵","幵"
49099,"幹","干"
54250,"壇","坛"
53352,"塞","塞"
44668,"剜","剜"
44679,"剝","剥"
44749,"剟","剟"
44896,"剬","剬"
44898,"剫","剫"
44899,"剭","剭"
44900,"剴","剀"
44908,"剩","剩"
45120,"剽","剽"
44918,"創","创"
45016,"割","割"
45092,"剺","剺"
45096,"蒯","蒯"
45101,"剸","剸"
45175,"剷","铲"
45183,"剿","剿"
45203,"劂","劂"
45204,"劄","札"
45213,"劁","劁"
45216,"劃","划"
45231,"劀","劀"
45234,"劈","劈"
45299,"劌","刿"
45311,"劇","剧"
45397,"劋","劋"
45398,"劍","剑"
45450,"劊","刽"
45454,"劉","刘"
45514,"毚","毚"
45521,"劖","劖"
45528,"劗","劗"
45532,"劘","劘"
45547,"劙","劙"
45550,"釁","衅"
45589,"力","力"
45765,"加","加"
45856,"劣","劣"
45963,"助","助"
46094,"勁","劲"
46143,"勉","勉"
46159,"勇","勇"
46195,"勍","勍"
46199,"勘","勘"
46225,"勒","勒"
46251,"勖","勖"
46257,"動","动"
46366,"募","募"
46384,"勛","勋"
46385,"勞","劳"
46535,"勣","绩"
46536,"勢","势"
46600,"勤","勤"
46696,"勦","剿"
46715,"勩","勚"
46718,"勱","劢"
46719,"勯","勯"
46720,"勰","勰"
46721,"勵","励"
46734,"勳","勋"
46769,"勸","劝"
46852,"勷","勷"
46854,"么","么"
46888,"云","云"
47020,"參","参"
47283,"又","又"
47291,"叉","叉"
47317,"友","友"
47355,"反","反"
53741,"墇","墇"
53742,"境","境"
54588,"壟","垄"
54598,"壛","壛"
54599,"壣","壣"
54600,"壤","壤"
54624,"壧","壧"
54625,"壩","坝"
47611,"犮","犮"
47612,"取","取"
47820,"受","受"
48168,"延","延"
48022,"燮","燮"
48033,"叢","丛"
48125,"廷","廷"
51989,"袁","袁"
52003,"埁","埁"
52004,"埒","埒"
52013,"垺","垺"
52014,"埆","埆"
52368,"垵","埯"
52369,"堁","堁"
52370,"埸","埸"
52371,"堌","堌"
52372,"堈","堈"
52373,"堝","埚"
52374,"埵","埵"
52378,"堄","堄"
52379,"堆","堆"
52410,"埤","埤"
53057,"堳","堳"
53058,"塈","塈"
53061,"堥","堥"
53063,"塨","塨"
53064,"墓","墓"
53923,"墜","坠"
48568,"午","午"
48635,"平","平"
49361,"左","左"
52066,"堎","堎"
52067,"埡","垭"
52069,"堊","垩"
52078,"基","基"
52999,"堩","堩"
53000,"壹","壹"
49526,"巧","巧"
49597,"巫","巫"
49635,"巠","巠"
49636,"差","差"
49753,"巰","巯"
49754,"土","土"
50118,"士","士"
50342,"圪","圪"
50361,"圳","圳"
50362,"圾","圾"
50363,"圮","圮"
50382,"圯","圯"
50391,"地","地"
50249,"在","在"
50758,"坏","坏"
50763,"坉","坉"
50764,"址","址"
50765,"圻","圻"
50773,"坒","坒"
50774,"坐","坐"
51112,"均","均"
51048,"坅","坅"
51049,"坋","坋"
51050,"坌","坌"
51069,"坁","坁"
51070,"坎","坎"
51197,"坊","坊"
51226,"壯","壮"
51316,"坩","坩"
51321,"坷","坷"
51325,"坯","坯"
51339,"坪","坪"
51342,"坫","坫"
51343,"坦","坦"
51374,"坤","坤"
51599,"坵","坵"
51604,"坼","坼"
51612,"坻","坻"
51619,"垀","垀"
51620,"垃","垃"
51622,"幸","幸"
51697,"坢","坢"
51698,"坨","坨"
51701,"坭","坭"
51702,"坲","坲"
51704,"坡","坡"
51719,"坶","坶"
51721,"坳","坳"
51729,"型","型"
51734,"垣","垣"
51745,"垮","垮"
51748,"城","城"
51907,"垗","垗"
51908,"垛","垛"
51917,"垕","垕"
51918,"垝","垝"
51920,"垓","垓"
51927,"垟","垟"
51928,"垞","垞"
51929,"垠","垠"
51937,"埔","埔"
51939,"埂","埂"
51940,"埕","埕"
51941,"埋","埋"
52134,"埴","埴"
52138,"域","域"
52144,"堇","堇"
52018,"垼","垼"
52019,"垿","垿"
52020,"垸","垸"
52023,"埌","埌"
52024,"埇","埇"
52025,"埃","埃"
52043,"垽","垽"
52044,"堲","堲"
52048,"埲","埲"
52050,"堵","堵"
52148,"埜","埜"
52149,"堅","坚"
52253,"埼","埼"
52254,"埱","埱"
52255,"堂","堂"
53252,"塙","塙"
53256,"塉","塉"
53262,"塘","塘"
54630,"寸","寸"
55457,"尋","寻"
65846,"吥","吥"
65847,"吠","吠"
52419,"埠","埠"
52421,"埶","埶"
52422,"埰","采"
52423,"堋","堋"
52426,"堍","堍"
52428,"埳","埳"
52435,"埻","埻"
52438,"培","培"
52454,"執","执"
52647,"埢","埢"
52649,"埭","埭"
52652,"埽","埽"
52673,"堀","堀"
52681,"堯","尧"
52697,"堪","堪"
52711,"堞","堞"
52715,"塔","塔"
63053,"句","句"
60282,"奧","奥"
60658,"尬","尬"
60659,"卼","卼"
60661,"尰","尰"
60662,"就","就"
52735,"堰","堰"
52739,"堛","堛"
52742,"堙","堙"
52767,"堶","堶"
52768,"堿","碱"
52826,"堣","堣"
52828,"堨","堨"
52829,"堮","堮"
52830,"堡","堡"
52843,"塊","块"
52861,"堠","堠"
52870,"堷","堷"
52871,"報","报"
53279,"塝","塝"
53281,"塑","塑"
53285,"塋","茔"
53301,"塗","涂"
53024,"壺","壶"
53109,"填","填"
53205,"塥","塥"
53206,"塒","埘"
53208,"塌","塌"
53238,"塤","埙"
53239,"塏","垲"
53242,"堽","堽"
53244,"塕","塕"
53248,"塢","坞"
53251,"塯","塯"
53440,"壼","壸"
53451,"塚","冢"
53453,"塓","塓"
53455,"墊","垫"
53499,"墈","墈"
53500,"墐","墐"
53506,"塹","堑"
53515,"塼","砖"
53517,"墆","墆"
53522,"塽","塽"
53524,"墟","墟"
53552,"墅","墅"
53554,"塿","塿"
53555,"墁","墁"
53556,"塴","塴"
53557,"墉","墉"
53564,"塾","塾"
53568,"塺","塺"
53570,"塵","尘"
53756,"壽","寿"
53866,"墮","堕"
53963,"墋","墋"
53965,"墬","墬"
53966,"墝","硗"
53971,"墳","坟"
54023,"墣","墣"
54024,"墠","墠"
54025,"墨","墨"
54147,"墺","墺"
54148,"墦","墦"
54151,"墩","墩"
54160,"墡","墡"
54161,"墫","墫"
54163,"增","增"
54218,"墀","墀"
54219,"墱","墱"
54222,"墯","墯"
54223,"壒","壒"
54224,"墻","墙"
54225,"墼","墼"
54226,"墿","墿"
54227,"壆","壆"
54228,"墽","墽"
54229,"墾","垦"
54276,"壈","壈"
54278,"壅","壅"
54318,"壂","壂"
54319,"壁","壁"
54372,"壔","壔"
54373,"壏","壏"
54375,"壓","压"
54472,"壖","壖"
54475,"壑","壑"
54480,"壎","埙"
54483,"壕","壕"
54487,"壙","圹"
54498,"壝","壝"
54503,"壘","垒"
54524,"壢","坜"
54525,"壚","垆"
54531,"埮","埮"
54532,"壞","坏"
54734,"寺","寺"
54756,"封","封"
54989,"尃","尃"
54991,"射","射"
55113,"專","专"
55572,"對","对"
55767,"導","导"
55826,"廾","廾"
55827,"弁","弁"
55849,"异","异"
55850,"弄","弄"
55968,"弅","弅"
55969,"弇","弇"
55981,"弈","弈"
55995,"弊","弊"
56063,"大","大"
65629,"吞","吞"
68807,"哭","哭"
68831,"哫","哫"
68833,"唈","唈"
68835,"哦","哦"
68839,"唎","唎"
68840,"唏","唏"
59532,"奈","奈"
59545,"奔","奔"
60355,"奠","奠"
68680,"哽","哽"
68694,"唇","唇"
68710,"唔","唔"
68717,"唒","唒"
62833,"右","右"
57540,"天","天"
61862,"少","少"
59639,"奇","奇"
60105,"奚","奚"
63563,"叻","叻"
63564,"台","台"
67834,"咚","咚"
67836,"咆","咆"
63186,"司","司"
58378,"夫","夫"
58440,"夭","夭"
58516,"太","太"
59363,"奉","奉"
62966,"叭","叭"
62976,"史","史"
58750,"夬","夬"
58753,"央","央"
58777,"失","失"
59051,"夯","夯"
59060,"夸","夸"
59108,"夼","夼"
59109,"夷","夷"
