chars,pinyin
"冞","mí"
"冠","guàn"
"冠","guān"
"冢","zhǒng"
"冤","yuān"
"冥","míng"
"冪","mì"
"冬","dōng"
"冰","bīng"
"冱","hù"
"冶","yě"
"冷","lěng"
"冼","xiǎn"
"冽","liè"
"凄","qī"
"准","zhǔn"
"凈","jìng"
"凊","jìng"
"凋","diāo"
"凌","líng"
"凍","dòng"
"凜","lǐn"
"凝","níng"
"几","jǐ"
"几","jī"
"凡","fán"
"凰","huáng"
"凱","kǎi"
"凳","dèng"
"凵","qū"
"凶","xiōng"
"凹","āo"
"出","chū"
"函","hán"
"刀","dāo"
"刁","diāo"
"刃","rèn"
"分","fèn"
"分","fēn"
"切","qiè"
"切","qiē"
"刈","yì"
"刊","kān"
"刎","wěn"
"刑","xíng"
"划","huá"
"划","huà"
"刖","yuè"
"列","liè"
"刜","fú"
"初","chū"
"判","pàn"
"別","bié"
"別","biè"
"刨","bào"
"刨","páo"
"利","lì"
"刪","shān"
"刮","guā"
"到","dào"
"刲","kuī"
"刳","kū"
"刵","èr"
"制","zhì"
"刷","shuà"
"刷","shuā"
"券","quàn"
"刺","cì"
"刻","kè"
"剁","duò"
"剃","tì"
"剄","jǐng"
"則","zé"
"剉","cuò"
"削","xiāo"
"削","xuē"
"剋","kè"
"剌","lá"
"剌","là"
"前","qián"
"剎","chà"
"剎","shā"
"剔","tī"
"剖","pōu"
"剚","zì"
"剛","gāng"
"剜","wān"
"剝","bō"
"剞","jī"
"剡","shàn"
"剡","yǎn"
"剩","shèng"
"剪","jiǎn"
"剮","guǎ"
"副","fù"
"割","gē"
"剴","kǎi"
"創","chuàng"
"創","chuāng"
"剷","chǎn"
"剸","tuán"
"剽","piāo"
"剿","chāo"
"剿","jiǎo"
"劂","jué"
"劃","huà"
"劄","zhá"
"劇","jù"
"劈","pǐ"
"劈","pī"
"劉","liú"
"劌","guì"
"劍","jiàn"
"劑","jì"
"劓","yì"
"劖","chán"
"劘","mó"
"力","lì"
"功","gōng"
"加","jiā"
"劣","liè"
"助","zhù"
"努","nǔ"
"劫","jié"
"劬","qú"
"劭","shào"
"劻","kuāng"
"劼","jié"
"劾","hé"
"勁","jìn"
"勁","jìng"
"勃","bó"
"勇","yǒng"
"勉","miǎn"
"勍","qíng"
"勒","lè"
"勒","lēi"
"動","dòng"
"勖","xù"
"勗","xù"
"勘","kān"
"務","wù"
"勛","xūn"
"勝","shèng"
"勝","shēng"
"勞","láo"
"募","mù"
"勢","shì"
"勣","jī"
"勤","qín"
"勦","chāo"
"勦","jiǎo"
"勩","yì"
"勰","xié"
"勱","mài"
"勳","xūn"
"勵","lì"
"勷","ráng"
"勸","quàn"
"勺","sháo"
"勻","yún"
"勾","gòu"
"勾","gōu"
"勿","wù"
"包","bāo"
"匆","cōng"
