chars,pinyin
"咎","jiù"
"咏","yǒng"
"咐","fù"
"咒","zhòu"
"咕","gū"
"咖","kā"
"咙","lóng"
"咚","dōng"
"咛","níng"
"咡","èr"
"咢","è"
"咥","dié"
"咥","xì"
"咧","liě"
"咧","liē"
"咨","zī"
"咪","mī"
"咫","zhǐ"
"咬","yǎo"
"咮","zhòu"
"咯","gē"
"咯","lo"
"咯","luò"
"咱","zá"
"咱","zán"
"咳","hāi"
"咳","ké"
"咸","xián"
"咺","xuǎn"
"咻","xiū"
"咽","yàn"
"咽","yān"
"咽","yè"
"咿","yī"
"哀","āi"
"品","pǐn"
"哂","shěn"
"哄","hòng"
"哄","hǒng"
"哄","hōng"
"哆","duō"
"哇","wā"
"哈","hǎ"
"哈","hā"
"哉","zāi"
"响","xiǎng"
"哎","āi"
"哑","yǎ"
"哑","yā"
"哒","dā"
"哓","xiāo"
"哔","bì"
"哗","huá"
"哗","huā"
"哙","kuài"
"哝","nóng"
"哢","lòng"
"哤","máng"
"哥","gē"
"哦","é"
"哦","ó"
"哨","shào"
"哩","li"
"哩","lǐ"
"哩","lī"
"哪","na"
"哪","nǎ"
"哪","nǎi"
"哪","něi"
"哭","kū"
"哮","xiāo"
"哲","zhé"
"哺","bǔ"
"哺","bū"
"哼","hēng"
"哼","hng"
"哽","gěng"
"哿","gě"
"唁","yàn"
"唆","suō"
"唇","chún"
"唈","yì"
"唉","ài"
"唉","āi"
"唎","lì"
"唏","xī"
"唐","táng"
"唑","zuò"
"唠","láo"
"唤","huàn"
"唧","jī"
"唪","fěng"
"唬","hǔ"
"售","shòu"
"唯","wéi"
"唯","wěi"
"唱","chàng"
"唳","lì"
"唷","yō"
"唾","tuò"
"啁","zhōu"
"啃","kěn"
"啄","zhuó"
"商","shāng"
"啊","a"
"啊","á"
"啊","à"
"啊","ǎ"
"啊","ā"
"啍","tūn"
"啐","cuì"
"啕","táo"
"啖","dàn"
"啗","dàn"
"啜","chuò"
"啡","fēi"
"啢","liǎng"
"啤","pí"
"啦","la"
"啦","lā"
"啧","zé"
"啬","sè"
"啮","niè"
"啸","xiào"
"啻","chì"
"啼","tí"
"喀","kā"
"喁","yóng"
"喂","wèi"
"喃","nán"
"善","shàn"
"喇","lǎ"
"喇","lā"
"喈","jiē"
"喉","hóu"
"喊","hǎn"
"喋","dié"
"喏","rě"
"喑","yīn"
"喓","yāo"
"喔","ō"
"喘","chuǎn"
"喙","huì"
"喜","xǐ"
"喝","hè"
"喝","hē"
"喟","kuì"
"喤","huáng"
"喧","xuān"
"喨","liàng"
"喫","chī"
"喭","yàn"
"喱","lí"
"喳","chā"
"喵","miāo"
"喷","pèn"
"喷","pēn"
"喻","yù"
"喽","lou"
"喽","lóu"
"喾","kù"
"嗃","hè"
"嗄","á"
"嗄","shà"
"嗅","xiù"
"嗈","yōng"
"嗉","sù"
"嗊","hǒng"
"嗐","hài"
"嗑","kè"
"嗒","tà"
"嗓","sǎng"
"嗔","chēn"
"嗜","shì"
"嗝","gé"
"嗟","jiē"
"嗟","juē"
"嗤","chī"
"嗥","háo"
"嗨","hāi"
"嗫","niè"
"嗯","ēn"
"嗳","ài"
"嗳","ǎi"
"嗷","áo"
"嗹","lián"
"嗽","sòu"
"嗾","sǒu"
"嗿","tǎn"
"嘁","qī"
"嘂","jiào"
"嘈","cáo"
"嘉","jiā"
"嘎","gá"
"嘏","gǔ"
"嘏","jiǎ"
"嘐","xiāo"
"嘒","huì"
"嘓","guō"
"嘘","xū"
"嘛","ma"
"嘟","dū"
"嘤","yīng"
"嘧","mì"
"嘬","chuài"
"嘬","zuō"
"嘱","zhǔ"
"嘲","cháo"
"嘲","zhāo"
"嘴","zuǐ"
"嘶","sī"
"嘹","liáo"
"嘻","xī"
"嘿","hēi"
"噀","xùn"
"噂","zǔn"
"噉","dàn"
"噌","cēng"
"噌","chēng"
"噎","yē"
"噗","pū"
"噘","juē"
"噙","qín"
"噜","lū"
"噢","ō"
"噤","jìn"
"器","qì"
"噩","è"
"噪","zào"
"噫","yī"
"噬","shì"
"噱","jué"
"噳","yǔ"
"噶","gá"
"嚃","tà"
"嚄","huò"
"嚄","ǒ"
"嚅","rú"
"嚆","hāo"
"嚎","háo"
"嚏","tì"
"嚚","yín"
"嚣","xiāo"
"嚬","pín"
"嚭","pǐ"
"嚲","duǒ"
"嚷","rǎng"
"嚼","jiáo"
"嚼","jué"
"囊","náng"
"囗","wéi"
"囚","qiú"
"四","sì"
"囝","jiǎn"
"回","huí"
"囟","xìn"
"因","yīn"
"团","tuán"
"囤","dùn"
"囤","tún"
"囥","kàng"
"囫","hú"
"园","yuán"
"囮","é"
"困","kùn"
"困","kǔn"
"囱","cōng"
"围","wéi"
"囵","lún"
"囷","jūn"
"囹","líng"
"固","gù"
"国","guó"
"图","tú"
"囿","yòu"
"圂","hùn"
"圃","pǔ"
"圄","yǔ"
"圆","yuán"
"圈","juàn"
"圈","juān"
"圈","quān"
"圊","qīng"
"圌","chuí"
"圛","yì"
"圜","yuán"
"圞","luán"
"土","tǔ"
"圣","shèng"
"在","zài"
"圩","wéi"
"圪","gē"
"圬","wū"
"圭","guī"
"圮","pǐ"
"地","de"
"地","dì"
"圹","kuàng"
"场","chǎng"
"圻","qí"
"址","zhǐ"
"均","jūn"
"坊","fāng"
"坌","bèn"
"坍","tān"
"坎","kǎn"
"坏","huài"
"坐","zuò"
"坑","kēng"
"块","kuài"
"块","kuāi"
"坚","jiān"
"坛","tán"
"坝","bà"
"坞","wù"
"坟","fén"
"坠","zhuì"
"坡","pō"
"坤","kūn"
"坦","tǎn"
"坨","tuó"
"坩","gān"
"坪","píng"
"坫","diàn"
"坭","ní"
"坯","pī"
"坰","jiōng"
"坱","yāng"
"坳","ào"
"坷","kě"
"坻","chí"
"坻","dǐ"
"坼","chè"
"垂","chuí"
"垄","lǒng"
"垆","lú"
"型","xíng"
"垒","lěi"
"垓","gāi"
"垕","hòu"
"垚","yáo"
"垛","duò"
"垛","duǒ"
"垝","guǐ"
"垞","chá"
"垟","yáng"
"垠","yín"
"垢","gòu"
"垣","yuán"
"垤","dié"
"垦","kěn"
"垩","è"
"垫","diàn"
"垮","kuǎ"
"垲","kǎi"
"埂","gěng"
"埃","āi"
"埇","yǒng"
"埋","mái"
"埋","mán"
"埌","làng"
"城","chéng"
"埏","shān"
"埏","yán"
"埔","pǔ"
"埕","chéng"
"埘","shí"
"埙","xūn"
"埚","guō"
"域","yù"
"埠","bù"
"埤","pí"
"埧","jù"
"埭","dài"
"埰","cài"
"埵","duǒ"
"埶","yì"
"埸","yì"
"培","péi"
"基","jī"
"埽","sào"
"堀","kū"
"堂","táng"
"堆","duī"
"堇","jǐn"
"堉","yù"
"堋","péng"
"堌","gù"
"堍","tù"
"堎","líng"
"堑","qiàn"
"堕","duò"
"堕","huī"
"堙","yīn"
"堞","dié"
"堠","hòu"
"堡","bǎo"
"堡","pù"
"堤","dī"
"堨","è"
"堪","kān"
"堰","yàn"
"堳","méi"
"堵","dǔ"
"堽","gāng"
"堿","jiǎn"
"塈","jì"
"塌","tā"
"塍","chéng"
"塑","sù"
"塓","mì"
"塔","tǎ"
"塘","táng"
"塝","bàng"
"塞","sài"
"塞","sāi"
"塞","sè"
"塥","gé"
"填","tián"
"塱","lǎng"
"塼","zhuān"
"塽","shuǎng"
"塾","shú"
"塿","lǒu"
"墀","chí"
"墁","màn"
