han,chars
"cương","疆"
"cương","纲"
"cương","缰"
"cương","罡"
"cương","钢"
"cường","强"
"cường","疆"
"cưỡng","弶"
"cưỡng","强"
"cưỡng","糨"
"cưỡng","膙"
"cưỡng","襁"
"cưỡng","镪"
"cưu","灸"
"cưu","阄"
"cưu","鸠"
"cứu","厩"
"cứu","捄"
"cứu","救"
"cứu","灸"
"cứu","疚"
"cứu","究"
"cừu","仇"
"cừu","裘"
"cừu","訄"
"cừu","鼽"
"cữu","咎"
"cữu","柩"
"cữu","疚"
"cữu","臼"
"cữu","舅"
"cửu","〩"
"cửu","久"
"cửu","九"
"cửu","八"
"cửu","厹"
"cửu","朹"
"cửu","犰"
"cửu","玖"
"cửu","疚"
"cửu","臼"
"cửu","轨"
"cửu","韭"
"cựu","旧"
"da","耶"
"dã","也"
"dã","冶"
"dã","野"
"dạ","夜"
"đa","哆"
"đa","多"
"đa","爹"
"đà","佗"
"đà","坨"
"đà","拖"
"đà","柁"
"đà","柂"
"đà","沱"
"đà","砣"
"đà","舵"
"đà","跎"
"đà","酡"
"đà","陀"
"đà","驮"
"đà","驼"
"đà","鮀"
"đà","鸵"
"đà","鼍"
"đả","嚲"
"đả","打"
"đả","柁"
"đả","灺"
"dác","斠"
"dặc","弋"
"dặc","杙"
"đắc","底"
"đắc","得"
"đạc","度"
"đạc","蟘"
"đạc","踱"
"đạc","铎"
"đặc","特"
"đái","带"
"đái","戴"
"đái","襶"
"đài","台"
"đài","抬"
"đài","汸"
"đài","炱"
"đài","苔"
"đài","薹"
"đài","骀"
"đãi","待"
"đãi","怠"
"đãi","歹"
"đãi","殆"
"đãi","矽"
"đãi","绐"
"đãi","迨"
"đãi","逮"
"đãi","隶"
"đãi","靆"
"đại","代"
"đại","埭"
"đại","大"
"đại","岱"
"đại","忕"
"đại","汏"
"đại","玳"
"đại","袋"
"đại","軑"
"đại","黛"
"dam","尴"
"dâm","淫"
"dảm","硷"
"đam","抌"
"đam","担"
"đam","甔"
"đam","眈"
"đam","耽"
"đam","聃"
"đam","酖"
"đàm","坛"
"đàm","昙"
"đàm","氮"
"đàm","潭"
"đàm","痰"
"đàm","蟫"
"đàm","覃"
"đàm","谈"
"đàm","谭"
"đàm","谵"
"đàm","郯"
"đàm","醰"
"đàm","锬"
"đàm","镡"
"đảm","亶"
"đảm","担"
"đảm","胆"
"đảm","萏"
"đảm","贉"
"đảm","髧"
"đạm","啖"
"đạm","噉"
"đạm","氮"
"đạm","淡"
"đạm","澹"
"đạm","窞"
"đạm","萏"
"dân","岷"
"dân","民"
"dần","夤"
"dần","寅"
"dẫn","嘂"
"dẫn","廴"
"dẫn","引"
"dẫn","泯"
"dẫn","蚓"
"dẫn","靷"
"dản","间"
"dận","胤"
"đan","丹"
"đan","刐"
"đan","单"
"đan","坍"
"đan","瘅"
"đan","箪"
"đan","襌"
"đan","郸"
"đán","旦"
"đàn","亶"
"đàn","坛"
"đàn","弹"
"đàn","檀"
"đàn","殚"
"đàn","澶"
"đãn","但"
"đản","亶"
"đản","但"
"đản","掸"
"đản","疸"
"đản","瘅"
"đản","蛋"
"đản","袒"
"đản","襢"
"đản","诞"
"đạn","弹"
"đạn","惮"
"đạn","掸"
"đạn","殚"
"đạn","瘅"
"dang","疘"
"dăng","蝇"
"dắng","媵"
"dạng","恙"
"dạng","样"
"dạng","漾"
"dạng","炀"
"dạng","烊"
"dạng","羕"
"dạng","蛘"
"đang","当"
"đang","挡"
"đang","璫"
"đang","簹"
"đang","裆"
"đang","铛"
"đáng","当"
"đáng","档"
"đăng","凳"
"đăng","嶝"
"đăng","橙"
"đăng","灯"
"đăng","登"
"đăng","簦"
"đăng","蹬"
"đãng","宕"
"đãng","登"
"đãng","砀"
"đãng","荡"
"đãng","菪"
"đắng","凳"
"đắng","淛"
"đắng","磴"
"đắng","蕑"
"đắng","褧"
"đằng","滕"
"đằng","縢"
"đằng","腾"
"đằng","藤"
"đằng","螣"
"đằng","誊"
"đẵng","媵"
"đảng","党"
"đảng","挡"
"đảng","谠"
"đảng","鎲"
"đẳng","戥"
"đẳng","等"
"đặng","撜"
"đặng","磴"
"đặng","邓"
"đặng","镫"
"danh","名"
"danh","茗"
"dao","嗂"
"dao","徭"
"dao","摇"
"dao","猺"
"dao","瑶"
"dao","紩"
"dao","繇"
"dao","谣"
"dao","轺"
"dao","遥"
"dao","鳐"
"dao","鹞"
"đao","刀"
"đao","刂"
"đao","叨"
"đao","忉"
"đao","魛"
"đáo","到"
"đáo","纛"
"đào","啕"
"đào","掏"
"đào","桃"
"đào","檮"
"đào","沊"
"đào","涛"
"đào","淘"
"đào","焘"
"đào","紨"
"đào","綯"
"đào","萄"
"đào","逃"
"đào","醄"
"đào","陶"
"đào","鞀"
"đảo","倒"
"đảo","壔"
"đảo","岛"
"đảo","捣"
"đảo","捯"
"đảo","檮"
"đảo","焘"
"đảo","祷"
"đạo","导"
"đạo","焘"
"đạo","盗"
"đạo","稻"
"đạo","翿"
"đạo","蹈"
"đạo","道"
"dập","熠"
"đáp","搭"
"đáp","畣"
"đáp","瘩"
"đáp","答"
"đáp","耷"
"đáp","褡"
"đạp","嚃"
"đạp","沓"
"đạp","踏"
"đạp","蹋"
"đạp","遝"
"dật","佚"
"dật","佾"
"dật","帙"
"dật","泆"
"dật","溢"
"dật","袟"
"dật","轶"
"dật","逸"
"dật","镒"
"đát","妲"
"đát","怛"
"đát","炟"
"đát","笪"
"đát","靼"
"đạt","薘"
"đạt","达"
"dậu","酉"
"đâu","丢"
"đâu","兜"
"đấu","斗"
"đầu","亠"
"đầu","头"
"đầu","投"
"đầu","骰"
"đẩu","抖"
"đẩu","斗"
"đẩu","蚪"
"đẩu","陡"
"đẩu","黈"
"đậu","痘"
"đậu","窦"
"đậu","读"
"đậu","豆"
"đậu","逗"
"đậu","餖"
"dê","喈"
"đê","低"
"đê","堤"
"đê","氐"
"đê","羝"
"đế","嚏"
"đế","帝"
"đế","揥"
"đế","柢"
"đế","碲"
"đế","禘"
"đế","缔"
"đế","蒂"
"đế","蝃"
"đế","螮"
"đế","褅"
"đế","谛"
"đề","啼"
"đề","堤"
"đề","提"
"đề","泜"
"đề","禔"
"đề","稊"
"đề","绨"
"đề","缇"
"đề","荑"
"đề","诋"
"đề","蹄"
"đề","醍"
"đề","题"
"đề","鹈"
"đễ","娣"
"đễ","悌"
"đễ","锑"
"để","底"
"để","弤"
"để","抵"
"để","柢"
"để","氐"
"để","砥"
"để","荑"
"để","诋"
"để","邸"
"để","骶"
"đệ","娣"
"đệ","岏"
"đệ","弟"
"đệ","杕"
"đệ","棣"
"đệ","睇"
"đệ","第"
"đệ","踶"
"đệ","递"
"đệ","遰"
"đệ","锑"
"di","他"
"di","俅"
"di","匜"
"di","台"
"di","咦"
"di","圯"
"di","夤"
"di","夷"
"di","姨"
"di","宧"
"di","异"
"di","弥"
"di","彝"
"di","怡"
"di","椸"
"di","涕"
"di","痍"
"di","眱"
"di","移"
"di","簃"
"di","胰"
"di","虬"
"di","訑"
"di","謻"
"di","诒"
"di","贻"
"di","趍"
"di","迻"
"di","遗"
"di","酏"
"di","颐"
"di","饴"
"dĩ","以"
"dĩ","屺"
"dĩ","已"
"dĩ","苡"
"dĩ","迤"
"dị","剔"
"dị","异"
"dị","易"
"dị","眙"
"dị","肄"
"dị","貤"
"dị","踢"
"địa","地"
"dịch","剔"
"dịch","埸"
"dịch","奕"
"dịch","峄"
"dịch","帟"
"dịch","弈"
"dịch","役"
"dịch","怿"
"dịch","惕"
"dịch","掖"
"dịch","斁"
"dịch","易"
"dịch","液"
"dịch","疫"
"dịch","睾"
"dịch","绎"
"dịch","腋"
"dịch","蜴"
"dịch","译"
"dịch","驿"
"đích","嘀"
"đích","嫡"
"đích","樀"
"đích","的"
"đích","菂"
"đích","镝"
"đích","靮"
"địch","敌"
"địch","涤"
"""","『"
"bà","爬"
"bà","爸"
"bà","琶"
"bà","皤"
"bà","耙"
"bà","鄱"
"bả","坝"
"bả","把"
"bả","跁"
"bả","跛"
"bạ","簿"
"bác","剥"
"bác","博"
"bác","搏"
"bác","膊"
"bác","趵"
"bác","鎛"
"bác","餺"
"bác","驳"
"bác","髆"
"bắc","北"
"bạc","亳"
"bạc","帕"
"bạc","泊"
"bạc","礴"
"bạc","箔"
"bạc","簿"
"bạc","舶"
"bạc","薄"
"bạc","铂"
"bạc","雹"
"bạc","鞄"
"bặc","匐"
"bặc","卜"
"bặc","菔"
"bặc","踣"
"bách","佰"
"bách","柏"
"bách","百"
"bách","舶"
"bách","蘖"
"bách","迫"
"bách","陌"
"bạch","帕"
"bạch","帛"
"bạch","怊"
"bạch","白"
"bạch","鎀"
"bạch","铂"
"bái","俳"
"bái","呗"
"bái","扒"
"bái","拜"
"bái","旆"
"bái","沛"
"bái","湃"
"bái","狈"
"bái","霈"
"bài","俳"
"bài","捭"
"bài","排"
"bài","棑"
"bài","牌"
"bài","簰"
"bài","裨"
"bãi","捭"
"bãi","摆"
"bãi","罢"
"bại","惫"
"bại","稗"
"bại","粺"
"bại","败"
"bám","湴"
"bẩm","潲"
"bẩm","禀"
"ban","扮"
"ban","扳"
"ban","拌"
"ban","搬"
"ban","攽"
"ban","斑"
"ban","斒"
"ban","板"
"ban","班"
"ban","瘢"
"ban","绊"
"ban","般"
"ban","颁"
"bán","半"
"bán","扮"
"bán","绊"
"bán","胖"
"bàn","柈"
"bàn","梤"
"bàn","盘"
"bàn","磅"
"bàn","磐"
"bàn","磻"
"bàn","胖"
"bàn","般"
"bàn","蟠"
"bàn","蹒"
"bàn","鞶"
"bân","彬"
"bân","斌"
"bân","豳"
"bân","邠"
"bấn","摈"
"bần","贫"
"bản","叛"
"bản","本"
"bản","板"
"bản","版"
"bản","笨"
"bản","舨"
"bản","苯"
"bản","贩"
"bản","钣"
"bản","阪"
"bạn","伴"
"bạn","办"
"bạn","叛"
"bạn","拌"
"bạn","瓣"
"bạn","畔"
"bạn","砣"
"bạn","绊"
"bận","趡"
"bận","髌"
"bang","乓"
"bang","帮"
"bang","梆"
"bang","磅"
"bang","绑"
"bang","邦"
"bang","镑"
"báng","蝆"
"báng","谤"
"bàng","乓"
"bàng","傍"
"bàng","庞"
"bàng","旁"
"bàng","湫"
"bàng","滂"
"bàng","磅"
"bàng","膀"
"bàng","螃"
"bàng","逄"
"bàng","镑"
"bàng","雱"
"băng","冫"
"băng","冰"
"băng","崩"
"băng","礄"
"băng","绷"
"bằng","冯"
"bằng","凭"
"bằng","堋"
"bằng","朋"
"bằng","棚"
"bằng","甭"
"bằng","硼"
"bằng","蹦"
"bằng","鬅"
"bằng","鹏"
"bẫng","惸"
"bảng","嗙"
"bảng","榜"
"bảng","牓"
"bảng","磅"
"bảng","绑"
"bảng","耪"
"bảng","膀"
"bảng","蒡"
"bảng","蹦"
"bảng","镑"
"bạng","塝"
"bạng","旁"
"bạng","蚌"
"bạng","螃"
"banh","滨"
"banh","祊"
"banh","绷"
"bánh","掽"
"bánh","榵"
"bánh","蓻"
"bánh","蟔"
"bánh","鍠"
"bột","勃"
"bột","孛"
"bột","悖"
"bột","桲"
"bột","渤"
"bột","脖"
"bột","荸"
"bột","饽"
"bột","鹁"
"bức","幅"
"bức","愊"
"bức","皕"
"bức","蝠"
"bức","辐"
"bức","逼"
"bùi","裴"
"bút","笔"
"bưu","庞"
"bưu","彪"
"bưu","芚"
"bưu","虭"
"bưu","邮"
"bưu","髟"
"ca","伽"
"ca","卡"
"ca","咖"
"ca","哥"
"ca","哿"
"ca","喀"
"ca","嘎"
"ca","旮"
"ca","歌"
"ca","牁"
"ca","菏"
"ca","袈"
"ca","轧"
"ca","迦"
"cá","个"
"các","各"
"các","合"
"các","搁"
"các","榷"
"các","胳"
"các","茖"
"các","詻"
"các","铬"
"các","阁"
"cách","咯"
"cách","嗝"
"cách","塥"
"cách","搁"
"cách","搿"
"cách","格"
"cách","缂"
"cách","翮"
"cách","胳"
"cách","膈"
"cách","镉"
"cách","隔"
"cách","革"
"cách","骼"
"cách","鬲"
"cai","剀"
"cai","垓"
"cai","荄"
"cai","该"
"cai","赅"
"cai","阂"
"cai","陔"
"cai","颏"
"cái","丐"
"cái","戤"
"cái","溉"
"cái","盖"
"cái","钙"
"cái","隑"
"cải","改"
"cải","篕"
"cam","坩"
"cam","柑"
"cam","泔"
"cam","淦"
"cam","甘"
"cam","疳"
"cam","绀"
"cam","蚶"
"cám","灨"
"cám","绀"
"cám","蝯"
"cám","赣"
"câm","禁"
"câm","衿"
"cấm","噤"
"cấm","妗"
"cấm","禁"
"cầm","噙"
"cầm","扲"
"cầm","擒"
"cầm","檎"
"cầm","琴"
"cầm","禽"
"cầm","芩"
"cầm","馑"
"cảm","感"
"cảm","敢"
"cảm","橄"
"cảm","澉"
